fork length (mm)	Number of larvae
221.7142925	5555
206.8571423	4722
262.8571461	5555
254.8571642	7500
233.1428455	9722
254.8571642	18611
263.9999857	13888
266.2857172	15000
274.857145	13611
289.1428755	20833
277.7142702	26388
285.1428584	28611
295.4285718	24444
306.8571248	25000
309.1428563	27777
289.1428755	30555
292.5714467	32500
284.0000188	42777
285.7143044	43333
295.4285718	45000
310.285696	37500
313.1428734	38333
329.7142831	36944
313.7142671	52500
321.1428553	58333
335.4285858	51666
345.1428532	52500
347.4285847	66388
347.9999784	75555
373.7142618	56388
321.1428553	96111
325.714266	19166
424.5714351	69166
